lad_code_2018,lad_name_2018,lad_code_2019,lad_name_2019
E06000029,Poole,E06000058,"Bournemouth, Christchurch and Poole"
E06000028,Bournemouth,E06000058,"Bournemouth, Christchurch and Poole"
E07000048,Christchurch,E06000058,"Bournemouth, Christchurch and Poole"
E07000052,West Dorset,E06000059,Dorset
E07000053,Weymouth and Portland,E06000059,Dorset
E07000051,Purbeck,E06000059,Dorset
E07000050,North Dorset,E06000059,Dorset
E07000049,East Dorset,E06000059,Dorset
E07000191,West Somerset,E07000246,Somerset West and Taunton
E07000190,Taunton Deane,E07000246,Somerset West and Taunton
E07000201,Forest Heath,E07000245,West Suffolk
E07000204,St Edmundsbury,E07000245,West Suffolk
E07000205,Suffolk Coastal,E07000244,East Suffolk
E07000206,Waveney,E07000244,East Suffolk
S12000046,Glasgow City,S12000049,Glasgow City
S12000044,North Lanarkshire,S12000050,North Lanarkshire
