wkt,region_code,region_name,region_name_welsh
"MULTILINESTRING ((0 25,3 25,3 21,1 21,1 22,0 22,0 25))",N07000001,Northern Ireland,Gogledd Iwerddon
"MULTILINESTRING ((5.0 24.0,8.0 24.0,8.0 21.0,9 21,9 18,10 18,10 17,9 17,9 16,8.0 16.0,8.0 14.0,5.0 14.0,5.0 16.0,4 16,4 20,5.0 20.0,5.0 21.0,6 21,6 22,5.0 22.0,5.0 24.0))",E12000002,North West,Gogledd-orllewin Lloegr
"MULTILINESTRING ((1 0,1 1,2 1,2 2,4 2,4.0 3.0,5.0 3.0,5.0 5.0,6 5,6.0 6.0,7.0 6.0,7 7,6 7,6 8,9 8,9 7,10 7,10 5,11 5,11 4,10 4,10.0 3.0,9.0 3.0,9 2,8.0 2.0,8.0 3.0,7.0 3.0,7 2,6 2,6 1,2 1,2 0,1 0))",E12000009,South West,De-orllewin Lloegr
"MULTILINESTRING ((10.0 3.0,10 4,11 4,11 5,10 5,10 8,11 8,11 9,12 9,12 10,13 10,13 9,14 9,14 7,15 7,15.0 6.0,16.0 6.0,16 5,17.0 5.0,17.0 6.0,20.0 6.0,20 9,23.0 9.0,23.0 8.0,25 8,25.0 6.0,22.0 6.0,22.0 4.0,20 4,20.0 3.0,18.0 3.0,18 2,17.0 2.0,17.0 1.0,16 1,16 2,11 2,11.0 3.0,10.0 3.0),(12 1,13 1,13 0,12 0,12 1))",E12000008,South East,De-ddwyrain Lloegr
"MULTILINESTRING ((14 10,14 14,15 14,15 16,17.0 16.0,17.0 15.0,19.0 15.0,19 16,20 16,20 17,23.0 17.0,23.0 16.0,22.0 16.0,22.0 13.0,23.0 13.0,23.0 12.0,22.0 12.0,22.0 11.0,23.0 11.0,23.0 10.0,24 10,24 9,21 9,21 11,18 11,18.0 12.0,17.0 12.0,17.0 11.0,15 11,15 10,14 10))",E12000006,East of England,Dwyrain Lloegr
"MULTILINESTRING ((6 13,7 13,7 14,8.0 14.0,8.0 15.0,9.0 15.0,9 14,10 14,10.0 12.0,11.0 12.0,11 10,12 10,12 9,11 9,11 8,10 8,10 7,9 7,9 8,6 8,6 13))",E12000005,West Midlands,Gorllewin Canolbarth Lloegr
"MULTILINESTRING ((8.0 24.0,10.0 24.0,10 26,11 26,11 25,12 25,12 23,13 23,13 22,8.0 22.0,8.0 24.0))",E12000001,North East,Gogledd-ddwyrain Lloegr
"MULTILINESTRING ((7.0 24.0,10.0 24.0,10 26,14 26,14 27,10 27,10 28,11 28,11.0 29.0,12.0 29.0,12 31,10 31,10 32,11 32,11 33,10 33,10 32,9 32,9 33,8.0 33.0,8.0 32.0,9 32,9.0 29.0,8.0 29.0,8.0 28.0,6 28,6 27,5.0 27.0,5.0 26.0,7 26,7.0 24.0),(10 34,11 34,11 35,10 35,10 34))",S15000001,Scotland,Yr Alban
"MULTILINESTRING ((13 10,15 10,15 11,17.0 11.0,17.0 12.0,18.0 12.0,18 11,21 11,21 9,20 9,20.0 6.0,17.0 6.0,17.0 5.0,16 5,16.0 6.0,15.0 6.0,15 7,14 7,14 9,13 9,13 10))",E12000007,London,Llundain
"MULTILINESTRING ((4 7,3 7,3 8,2 8,2 9,0 9,0 10,2 10,2 11,3 11,3 13,2 13,2 14,3 14,3 13,6 13,6 8,4 8,4 7))",W08000001,Wales,Cymru
"MULTILINESTRING ((8.0 15.0,8.0 16.0,9 16,9 17,12 17,12 18,14 18,14 19,16 19,16 16,15 16,15 14,14 14,14 10,11 10,11.0 12.0,10.0 12.0,10 14,9 14,9.0 15.0,8.0 15.0))",E12000004,East Midlands,Dwyrain Canolbarth Lloegr
"MULTILINESTRING ((8.0 22.0,12 22,12 21,13 21,13 20,15 20,15 19,14 19,14 18,12 18,12 17,10 17,10 18,9 18,9 21,8.0 21.0,8.0 22.0))",E12000003,Yorkshire and The Humber,Swydd Efrog a Humber
